"rm";"pausada";"data_pausa"
13274;"0";2017-05-18 14:17:09
13285;"0";2017-09-28 14:43:50
13354;"0";2018-01-30 15:56:17
13372;"0";2017-03-01 00:00:00
13385;"0";2017-03-01 00:00:00
13396;"0";2017-05-12 11:40:38
13412;"0";2017-12-01 14:53:49
13416;"0";2017-04-18 14:41:09
13424;"0";2017-09-04 14:20:30
13431;"0";2017-05-02 11:51:40
13432;"0";2017-09-04 14:19:37
13451;"0";2018-05-11 15:58:46
13468;"0";2017-11-28 14:38:42
13483;"0";2017-07-07 11:47:32
13484;"0";2017-07-07 11:46:31
13488;"1";2017-06-26 13:50:18
13488;"0";2017-07-13 08:36:23
13488;"1";2017-07-19 11:57:16
13488;"0";2017-07-21 15:48:22
13491;"0";2017-08-08 08:50:46
13505;"0";2017-04-18 14:24:51
13509;"0";2017-08-08 08:51:11
13545;"0";2017-05-02 10:18:28
13566;"0";2017-05-04 16:06:37
13581;"0";2017-11-28 11:25:26
13593;"0";2017-03-20 16:50:02
13640;"0";2017-12-01 14:53:05
13650;"0";2017-09-04 16:07:25
13652;"0";2017-03-01 00:00:00
13660;"0";2017-07-07 11:45:09
13713;"0";2017-03-10 09:28:25
13737;"0";2017-11-28 15:05:52
13738;"0";2017-11-28 15:05:21
13740;"0";2017-11-28 15:04:26
13741;"0";2017-11-28 15:03:47
13777;"0";2017-11-28 11:16:55
13820;"0";2017-03-21 15:14:47
13833;"0";2017-03-08 18:20:59
13839;"0";2017-11-28 14:38:23
13880;"0";2017-03-01 00:00:00
13882;"0";2018-02-09 11:01:50
13885;"0";2017-03-15 15:11:53
13886;"0";2017-03-20 10:29:20
13887;"0";2017-03-01 00:00:00
13893;"0";2017-03-01 00:00:00
13896;"0";2017-03-01 00:00:00
13897;"0";2017-03-01 00:00:00
13899;"0";2017-03-06 09:09:02
13907;"0";2017-03-01 00:00:00
13928;"0";2017-05-08 17:05:47
13945;"0";2017-11-28 14:37:03
13946;"0";2017-04-18 15:36:42
13946;"1";2018-11-09 09:48:20
13950;"0";2017-11-28 14:35:57
13962;"0";2018-01-10 11:21:52
13974;"0";2017-09-04 14:22:20
13981;"0";2017-04-03 11:22:51
14000;"0";2017-03-01 00:00:00
14006;"0";2017-03-01 00:00:00
14013;"0";2017-12-01 14:49:28
14017;"0";2017-07-18 10:28:50
14020;"0";2018-05-02 09:50:11
14041;"0";2017-03-06 11:05:56
14043;"0";2017-03-28 15:59:24
14045;"0";2017-04-04 11:27:52
14046;"0";2017-03-07 11:25:40
14047;"0";2017-03-23 11:23:26
14047;"1";2017-03-23 13:49:27
14047;"0";2017-04-03 11:16:54
14047;"1";2017-05-16 10:58:32
14053;"0";2017-10-02 13:38:39
14058;"0";2017-03-06 09:17:28
14063;"0";2017-08-18 14:58:36
14064;"1";2017-03-01 00:00:00
14065;"0";2017-09-13 10:25:12
14066;"0";2017-09-13 10:44:24
14078;"0";2017-03-24 10:44:07
14080;"0";2017-05-10 16:14:38
14095;"0";2017-08-25 11:03:15
14099;"0";2017-03-01 00:00:00
14105;"0";2017-06-19 13:58:55
14113;"0";2017-11-28 11:17:45
14115;"0";2017-11-28 11:18:43
14122;"0";2017-03-01 00:00:00
14126;"0";2017-04-05 10:46:35
14137;"0";2017-03-01 00:00:00
14142;"0";2017-06-19 14:00:39
14148;"0";2018-01-29 08:47:35
14149;"0";2017-09-14 15:35:46
14164;"0";2017-04-20 11:17:43
14177;"0";2017-08-21 14:34:10
14188;"0";2017-03-02 14:31:29
14197;"0";2017-05-19 16:12:06
14199;"0";2017-07-31 15:28:10
14203;"0";2017-11-28 11:05:31
14205;"0";2017-03-01 00:00:00
14213;"0";2017-03-01 00:00:00
14213;"1";2017-03-28 15:23:07
14213;"0";2017-05-15 15:45:51
14215;"0";2017-05-29 12:04:53
14215;"1";2017-11-27 10:35:08
14216;"0";2017-05-18 16:46:36
14219;"0";2017-07-21 08:10:15
14220;"0";2017-03-06 10:48:42
14223;"0";2017-04-05 17:01:29
14230;"0";2017-08-18 15:00:32
14232;"0";2017-05-22 16:33:34
14265;"1";2017-03-01 00:00:00
14267;"0";2018-02-28 15:33:12
14275;"0";2017-04-18 14:30:35
14277;"1";2017-03-01 00:00:00
14293;"0";2017-03-28 16:12:23
14296;"0";2017-03-28 16:16:37
14298;"0";2017-04-04 15:17:25
14303;"0";2017-05-26 15:24:07
14304;"0";2017-03-06 09:15:20
14313;"0";2017-03-28 16:24:43
14343;"0";2017-05-15 14:56:32
14343;"1";2017-06-22 14:56:28
14343;"0";2017-07-11 15:03:26
14344;"0";2017-03-03 16:36:02
14348;"1";2017-04-03 10:22:56
14348;"0";2017-11-17 10:55:38
14348;"1";2017-12-29 16:50:19
14348;"0";2018-03-07 14:52:50
14352;"0";2017-04-18 14:29:16
14355;"0";2017-03-01 00:00:00
14358;"0";2017-08-02 13:47:37
14358;"1";2018-05-11 15:56:05
14370;"0";2017-05-23 11:08:40
14402;"0";2017-03-01 00:00:00
14403;"0";2017-03-01 00:00:00
14404;"0";2017-03-01 00:00:00
14407;"0";2017-05-11 15:13:06
14415;"0";2017-03-01 00:00:00
14417;"0";2017-03-15 11:12:38
14418;"0";2017-05-29 11:44:38
14419;"0";2017-05-29 11:46:16
14420;"0";2017-05-29 11:59:53
14422;"0";2017-03-06 14:08:20
14422;"1";2017-09-11 08:56:12
14427;"0";2017-09-14 15:39:14
14431;"1";2017-03-01 00:00:00
14431;"0";2017-03-02 14:35:45
14433;"0";2017-04-10 16:56:31
14449;"0";2017-03-10 09:22:41
14451;"0";2017-03-06 09:31:16
14454;"0";2017-11-28 11:01:15
14455;"0";2017-08-31 09:36:26
14455;"1";2017-09-06 15:40:34
14469;"0";2017-04-04 13:05:07
14473;"0";2017-03-06 14:07:06
14473;"1";2018-05-11 15:56:25
14473;"0";2018-05-11 16:00:53
14482;"0";2017-08-21 14:59:48
14484;"0";2017-08-21 14:59:11
14492;"0";2018-04-02 16:03:12
14493;"0";2017-11-28 10:57:58
14500;"0";2017-04-18 14:26:12
14501;"0";2017-03-09 07:52:12
14513;"0";2017-08-31 13:55:33
14526;"0";2017-03-03 10:33:04
14536;"0";2017-04-17 14:24:04
14562;"0";2017-07-31 10:40:35
14562;"1";2017-11-28 10:28:13
14562;"0";2017-11-28 16:42:35
14569;"0";2017-03-01 00:00:00
14569;"1";2017-12-18 09:53:06
14571;"0";2017-03-01 00:00:00
14571;"1";2017-03-07 09:51:28
14584;"0";2017-08-16 14:47:10
14590;"0";2017-03-08 10:30:31
14591;"0";2017-09-29 11:39:58
14592;"0";2017-05-19 10:32:43
14594;"0";2017-03-08 10:27:08
14596;"0";2017-03-08 10:26:25
14599;"0";2017-09-29 11:38:44
14600;"0";2017-03-08 10:25:57
14603;"0";2017-09-11 16:36:48
14615;"0";2017-03-06 11:02:51
14616;"0";2017-03-01 00:00:00
14617;"0";2017-03-02 16:16:18
14622;"0";2017-05-26 16:22:58
14628;"0";2017-11-27 15:11:17
14631;"0";2017-11-28 10:56:17
14635;"0";2017-03-01 00:00:00
14638;"0";2017-03-01 00:00:00
14646;"0";2017-03-01 00:00:00
14655;"0";2017-03-01 00:00:00
14665;"0";2017-03-01 00:00:00
14667;"0";2017-03-06 09:36:48
14668;"1";2017-03-01 00:00:00
14694;"1";2017-08-16 15:00:26
14701;"0";2017-05-23 11:06:14
14709;"0";2017-03-01 00:00:00
14727;"0";2017-03-09 09:55:50
14730;"0";2017-03-22 15:39:15
14739;"0";2017-08-21 14:38:54
14742;"0";2017-08-25 14:49:12
14743;"0";2017-03-30 15:58:41
14747;"0";2017-03-07 11:26:42
14749;"0";2017-03-07 11:26:26
14750;"0";2017-08-21 14:40:21
14751;"0";2017-04-17 10:06:59
14753;"0";2017-09-29 15:52:09
14758;"0";2017-03-01 00:00:00
14764;"0";2017-06-19 14:04:35
14766;"0";2017-03-28 15:19:28
14771;"0";2017-05-12 07:45:38
14785;"0";2017-03-29 08:20:53
14786;"0";2018-04-11 16:45:34
14793;"0";2017-06-15 09:53:42
14802;"0";2017-09-14 15:52:26
14805;"0";2017-03-01 00:00:00
14806;"1";2017-03-01 00:00:00
14806;"0";2017-04-17 09:35:30
14808;"0";2017-09-29 16:06:18
14811;"0";2017-03-22 17:05:47
14812;"0";2017-09-29 16:23:50
14817;"1";2017-03-01 00:00:00
14818;"0";2017-08-07 10:05:07
14823;"0";2017-04-18 15:35:09
14824;"0";2017-03-01 00:00:00
14824;"1";2017-03-28 15:16:17
14826;"0";2017-09-04 14:12:25
14832;"0";2017-03-01 00:00:00
14838;"0";2017-04-20 11:20:47
14838;"1";2017-04-20 11:22:24
14839;"0";2017-04-20 11:24:23
14840;"0";2017-03-01 00:00:00
14842;"0";2017-03-06 09:26:33
14848;"0";2017-09-28 13:32:15
14851;"0";2018-01-29 09:19:50
14852;"0";2017-03-01 00:00:00
14854;"0";2017-03-29 08:14:14
14855;"0";2017-03-01 00:00:00
14856;"0";2017-05-23 16:16:55
14858;"0";2017-03-09 16:27:59
14866;"0";2017-03-01 00:00:00
14868;"0";2017-03-30 10:03:30
14869;"0";2017-03-09 13:36:33
14871;"0";2017-07-06 11:06:58
14875;"0";2017-03-03 11:58:36
14878;"0";2017-03-06 10:42:12
14881;"0";2017-03-13 14:17:28
14884;"0";2017-03-10 16:35:05
14889;"0";2017-03-06 14:49:13
14889;"1";2017-03-06 15:42:59
14897;"0";2017-03-22 15:30:24
14898;"0";2017-03-01 00:00:00
14904;"0";2017-10-16 11:29:24
14911;"0";2017-03-03 16:40:09
14920;"0";2017-03-01 00:00:00
14933;"0";2017-03-01 00:00:00
